Telephone;ID;SSN;Surname;Name;Birthdate;Gender;Fathersname;Mothersname;Alias;Address;Home Country
6975245587;AM-252565;;Επίθετο 1;Όνομα 1;25/10/2017;M;Fathersname 1;Mothersname 1;Alias 1;Address 1;Greece
6985652569;AA-121478;;Επίθετο 2;Όνομα 2;26/10/2017;F;Fathersname 2;Mothersname 2;Alias 2;Address 2;Greece
6972423369;AB-598836;;Επίθετο 3;Όνομα 3;27/10/2017;F;Fathersname 3;Mothersname 3;Alias 3;Address 3;Greece
6935452578;K-142785;;Επίθετο 4;Όνομα 4;28/10/2017;F;Fathersname 4;Mothersname 4;Alias 4;Address 4;Greece
6953237547;AN-963654;;Επίθετο 5;Όνομα 5;29/10/2017;M;Fathersname 5;Mothersname 5;Alias 5;Address 5;Greece
6932552547;AK-134294;;Επίθετο 6;Όνομα 6;30/10/2017;M;Fathersname 6;Mothersname 6;Alias 6;Address 6;Greece
6985877841;ΑΜ-012312;;Επίθετο 7;Όνομα 7;31/10/2017;M;Fathersname 7;Mothersname 7;Alias 7;Address 7;Albania
6988563214;AN-090897;;Επίθετο 8;Όνομα 8;01/11/2017;M;Fathersname 8;Mothersname 8;Alias 8;Address 8;Greece
6952545587;AA-123456;;Επίθετο 9;Όνομα 9;02/11/2017;M;Fathersname 9;Mothersname 9;Alias 9;Address 9;Greece
6955258546;AA-908231;;Επίθετο 10;Όνομα 10;03/11/2017;M;Fathersname 10;Mothersname 10;Alias 10;Address 10;Greece
6955893147;AZ-900234;;Επίθετο 11;Όνομα 11;04/11/2017;M;Fathersname 11;Mothersname 11;Alias 11;Address 11;Boulgaria
6936565687;AZ-923871;;Επίθετο 12;Όνομα 12;05/11/2017;M;Fathersname 12;Mothersname 12;Alias 12;Address 12;Greece
6959595874;AZ-909121;;Επίθετο 13;Όνομα 13;06/11/2017;M;Fathersname 13;Mothersname 13;Alias 13;Address 13;Greece
6954121179;AK-901209;;Επίθετο 14;Όνομα 14;07/11/2017;M;Fathersname 14;Mothersname 14;Alias 14;Address 14;Greece
6941321478;AK-897240;;Επίθετο 15;Όνομα 15;08/11/2017;M;Fathersname 15;Mothersname 15;Alias 15;Address 15;Russia
6955885521;AE-121098;;Επίθετο 16;Όνομα 16;09/11/2017;M;Fathersname 16;Mothersname 16;Alias 16;Address 16;Greece
6936369632;AE-534296;;Επίθετο 17;Όνομα 17;10/11/2017;M;Fathersname 17;Mothersname 17;Alias 17;Address 17;Greece
6933636321;AN-109923;;Επίθετο 18;Όνομα 18;11/11/2017;M;Fathersname 18;Mothersname 18;Alias 18;Address 18;Russia
6955862429;AK-100100;;Επίθετο 19;Όνομα 19;12/11/2017;M;Fathersname 19;Mothersname 19;Alias 19;Address 19;Greece
6988741236;AK-210059;;Επίθετο 20;Όνομα 20;13/11/2017;M;Fathersname 20;Mothersname 20;Alias 20;Address 20;Greece
6954123698;AK-309409;;Επίθετο 21;Όνομα 21;14/11/2017;M;Fathersname 21;Mothersname 21;Alias 21;Address 21;Greece
6945454569;AN-102935;;Επίθετο 22;Όνομα 22;15/11/2017;M;Fathersname 22;Mothersname 22;Alias 22;Address 22;Greece
6933216547;AA-100199;;Επίθετο 23;Όνομα 23;16/11/2017;M;Fathersname 23;Mothersname 23;Alias 23;Address 23;Albania
6945874123;AA-204302;;Επίθετο 24;Όνομα 24;17/11/2017;M;Fathersname 24;Mothersname 24;Alias 24;Address 24;Greece
6945212321;AB-456123;;Επίθετο 25;Όνομα 25;18/11/2017;M;Fathersname 25;Mothersname 25;Alias 25;Address 25;Greece
6974121478;AK-245690;;Επίθετο 26;Όνομα 26;19/11/2017;M;Fathersname 26;Mothersname 26;Alias 26;Address 26;Greece
6954565852;AB-234592;;Επίθετο 27;Όνομα 27;20/11/2017;M;Fathersname 27;Mothersname 27;Alias 27;Address 27;Boulgaria
6936547892;AM-124243;;Επίθετο 28;Όνομα 28;21/11/2017;M;Fathersname 28;Mothersname 28;Alias 28;Address 28;Greece
6998747412;AN-546023;;Επίθετο 29;Όνομα 29;22/11/2017;M;Fathersname 29;Mothersname 29;Alias 29;Address 29;Greece
6978787452;AK-235012;;Επίθετο 30;Όνομα 30;23/11/2017;M;Fathersname 30;Mothersname 30;Alias 30;Address 30;Greece
6998744123;AM-340854;;Επίθετο 31;Όνομα 31;24/11/2017;M;Fathersname 31;Mothersname 31;Alias 31;Address 31;Serbia
6998521236;AK-123463;;Επίθετο 32;Όνομα 32;25/11/2017;M;Fathersname 32;Mothersname 32;Alias 32;Address 32;Serbia
6945465321;AE-124342;;Επίθετο 33;Όνομα 33;26/11/2017;M;Fathersname 33;Mothersname 33;Alias 33;Address 33;Greece
6978745456;AM-14550;;Επίθετο 34;Όνομα 34;27/11/2017;M;Fathersname 34;Mothersname 34;Alias 34;Address 34;Greece
